title,price,rating,location,duration,category,lon,lat,distance,duration_hours,pref_score
Brahmatal Trek Uttarakhand,5999.0,4.0,Kathgodam,6D/5N,trekking,79.5204824,29.2604869,1317.162844111884,144.0,-5.901033468083719
8 Days Meghalaya Adventure Package With Trekking Tour,27800.0,5.0,Shillong,8D/7N,trekking,91.5627973,26.1429809,2074.144518317986,192.0,-11.150843433421972
Camping with Waterfall Trek and Paragliding,2350.0,4.0,,3D/2N,paragliding,,,,72.0,-1.2801354207006195
Kamshet Paragliding,2999.0,4.0,Kamshet,,paragliding,73.5381673,18.7644399,77.76820764919735,,8.120437256543728
Powered Paragliding In Rishikesh,4200.0,4.0,Rishikesh,,paragliding,78.2005685,30.0876602,1336.3489737604016,,-3.929284969805477
Powered Paragliding In Nandi Hills,2500.0,4.0,Nandi Hills,2H,paragliding,77.6515072,13.3828894,809.3182599629533,2.0,2.049054709012051
Paragliding in Nandi Hills,2800.0,4.0,Bangalore,,paragliding,77.6515072,13.3828894,809.3182599629533,,1.3159080847940634
Paragliding and Camping in Bir Billing | Book @ 23% off,3250.0,5.0,,2D/1N,paragliding,,,,48.0,6.4280807697774165
Air Safari in Dehradun Flat 16% off,4400.0,4.0,Dehradun,,paragliding,,,,,-1.210227257184303
Paragliding and Adventure Activities in Bir Billing,3700.0,4.0,,2D/1N,paragliding,,,,48.0,-1.1714860015512663
Camping and Paragliding in Bir Billing | Book @ 24% off,1200.0,4.0,,2D/1N,paragliding,,,,48.0,-0.6158738317813339
Paragliding in Barot | Book Online @ Flat 26% off,2200.0,5.0,Barot,2H,paragliding,,,,2.0,7.444741196828928
Paragliding in Manali,2200.0,5.0,Manali,,paragliding,,,,,6.778268032983332
Paragliding In Bhimtal,2000.0,5.0,Bhimtal,,paragliding,79.5360265,29.3489227,1326.259660078054,,4.153666258674316
Paragliding in Khajjiar,1449.0,5.0,Dalhousie,,paragliding,76.0455439,32.5503598,1529.165438026276,,2.3765236393895854
Camping with Paragliding in Bir Billing,1099.0,4.0,Bir - Billing,2D/1N,paragliding,,,,48.0,-0.5934271001226288
Paragliding In Gangtok Sikkim,3499.0,5.0,Gangtok,,paragliding,91.8008954,27.6121375,2152.696984974297,,-3.91656730968619
Paragliding In Shimla,2545.0,4.0,Shimla,,paragliding,77.1932037,31.02285,1396.096117288685,,-4.120821189753487
Paragliding in Nainital,1299.0,5.0,Bhimtal,,paragliding,79.4377611,29.3824491,1324.3695756524955,,4.327154840933903
Paragliding In Dehradun,4400.0,4.0,Dehradun,,paragliding,,,,,-1.210227257184303
Bir Billing Camping And Paragliding,2699.0,4.0,Bir - Billing,2D/1N,paragliding,76.7240902,32.0414583,1490.3425863025823,48.0,-5.154210472950917
Powered Paragliding in Rishikesh,4299.0,4.0,Rishikesh,,paragliding,78.2005685,30.0876602,1336.3489737604016,,-3.951287211728366
Bungee Jumping In Goa,2699.0,5.0,"Goa, India",1H,bungee jumping,,,,1.0,7.350869340693896
Bungee Jumping in Rishikesh,1620.0,4.0,Rishikesh,,bungee jumping,78.3981336,30.066805,1342.4467698439946,,-3.4129806467602055
Kolad Bungee Jumping,1900.0,4.0,Kolad,1H,bungee jumping,73.2002087,18.4057277,79.59740055076844,1.0,9.031060998456784
Bungee Jumping In Mumbai,2250.0,5.0,Mumbai,1H,bungee jumping,73.2002087,18.4057277,79.59740055076844,1.0,16.452831875459086
Kolad River Rafting and Bungee Jumping,1650.0,5.0,Kolad,2H,bungee jumping,73.2002087,18.4057277,79.59740055076844,2.0,16.569150463252825
Adventure Combo in Rishikesh,3970.0,4.0,Rishikesh,3H,bungee jumping,78.3981336,30.066805,1342.4467698439946,3.0,-3.2858112554493926
Bungee Jumping with Cycling in Bir Billing,1800.0,3.0,Bir - Billing,3H,bungee jumping,,,,3.0,-7.482502350499119
3 Exciting Adventure Sports in Mohan Chatti village near Rishikesh,1550.0,4.0,Rishikesh,1H,bungee jumping,78.3981336,30.066805,1342.4467698439946,1.0,-2.7139220092100054
Adventure at Charan Beel,1699.0,3.0,Guwahati,6H,canyoning,,,,6.0,-7.511140617693553
Adventure Activities in Mcleodganj | Flat 18%,450.0,4.0,Mcleodganj,,rock climbing,,,,,-0.3323600289478099
Rock Climbing and Rappelling in Bir | Flat 21% off,590.0,5.0,,,rock climbing,,,,,7.1360822703151685
Wall Climbing at Jim Corbett Flat 28% off,490.0,4.0,Ramnagar,,rock climbing,,,,,-0.3412498236641288
Rock Climbing in Jibhi | Flat 20% off,400.0,5.0,Jibhi,3H,rock climbing,,,,3.0,7.827753626112233
Adventure Activities near Jodhpur,1200.0,3.0,Jodhpur,4H,rock climbing,,,,4.0,-7.366183762705381
Adventure Activities Combo in Manali | Flat 17% off,740.0,5.0,Manali,3H,rock climbing,,,,3.0,7.752190371023522
Adventure in Bheem Bhadak near Jodhpur,999.0,4.0,Jodhpur,3H,rock climbing,,,,3.0,0.19507236946526219
Trekking at Chaupasni Village in Jodhpur,499.0,4.0,Jodhpur,2H,rock climbing,,,,2.0,0.3232231363702951
Experiential Rock Climbing in Ooty,280.0,4.0,Ooty,2H,rock climbing,76.658402,11.4118505,938.1454912648805,2.0,1.3363605392316664
Rock Climbing in Mussoorie I Book Now & Save 19%,849.0,5.0,Mussoorie,2H,rock climbing,,,,2.0,7.744994013372599
Rock Climbing in Shimla @ ₹800 Only | Book & Save 20%,800.0,4.0,Shimla,,rock climbing,,,,,-0.4101457327156005
Rock Climbing in Dandeli,970.0,4.0,Dandeli,5H,rock climbing,74.5997723,15.2361181,460.65998049486194,5.0,5.602135692886244
Homestay In Nilgiris With Bonfire,2600.0,4.0,Nilgiris,2D/1N,rock climbing,,,,48.0,-0.9270166468524961
